1510107008.0	1510107885.0	91.5.246.0/24	3320
1510107008.0	1510107885.0	79.240.193.0/24	3320
1510107008.0	1510107885.0	79.243.239.0/24	3320
1510107008.0	1510107885.0	84.150.128.0/24	3320
1510107008.0	1510107885.0	217.255.235.0/24	3320
1510107008.0	1510107885.0	93.234.201.0/24	3320
1510107008.0	1510107885.0	84.143.90.0/24	3320
1510107008.0	1510107885.0	91.23.46.0/24	3320
1510107008.0	1510107885.0	91.35.255.0/24	3320
1510107008.0	1510107885.0	79.201.173.0/24	3320
1510107008.0	1510107885.0	91.14.91.0/24	3320
1510107008.0	1510107885.0	93.209.240.0/24	3320
1510107008.0	1510107885.0	93.231.50.0/24	3320
1510107008.0	1510107885.0	91.0.110.0/24	3320
1510107008.0	1510107885.0	79.206.230.0/24	3320
1510107008.0	1510107885.0	91.46.40.0/24	3320
1510107008.0	1510107885.0	80.133.75.0/24	3320
1510107008.0	1510107885.0	93.201.56.0/24	3320
1510107008.0	1510107885.0	91.34.245.0/24	3320
1510107008.0	1510107885.0	91.13.96.0/24	3320
1510107008.0	1510107885.0	79.235.102.0/24	3320
1510109063.0	1510109355.0	79.249.87.0/24	3320
1510109063.0	1510109355.0	84.150.128.0/24	3320
1510109063.0	1510109355.0	91.47.11.0/24	3320
1510109063.0	1510109355.0	93.233.112.0/24	3320
1510109063.0	1510109355.0	217.94.248.0/24	3320
1510109063.0	1510109355.0	80.134.52.0/24	3320
1510109063.0	1510109355.0	93.238.71.0/24	3320
1510109063.0	1510109355.0	84.154.230.0/24	3320
1510109710.5	1510110012.5	93.205.54.0/24	3320
1510109710.5	1510110012.5	87.142.122.0/24	3320
1510109710.5	1510110012.5	91.5.113.0/24	3320
1510109710.5	1510110012.5	79.192.218.0/24	3320
1510109710.5	1510110012.5	84.154.7.0/24	3320
1510109710.5	1510110012.5	91.22.15.0/24	3320
